Time,Q (m3/s)
1/1/91,4.5
1/2/91,11
1/3/91,6.6
1/4/91,5
1/5/91,4.1
1/6/91,3.5
1/7/91,3.2
1/8/91,3.2
1/9/91,5
1/10/91,7.9
1/11/91,11.9
1/12/91,10.4
1/13/91,10.4
1/14/91,8.5
1/15/91,6.8
1/16/91,6.1
1/17/91,7.6
1/18/91,9.5
1/19/91,10.3
1/20/91,9.2
1/21/91,7.3
1/22/91,6.1
1/23/91,5.2
1/24/91,4.5
1/25/91,4.1
1/26/91,3.9
1/27/91,3.7
1/28/91,3.7
1/29/91,3.5
1/30/91,4.5
1/31/91,16.9
2/1/91,14.8
2/2/91,13.1
2/3/91,12.5
2/4/91,11.7
2/5/91,10.4
2/6/91,12
2/7/91,14.4
2/8/91,14.8
2/9/91,15.5
2/10/91,11.5
2/11/91,13
2/12/91,15.9
2/13/91,14
2/14/91,11.1
2/15/91,8.9
2/16/91,7.8
2/17/91,7
2/18/91,6.1
2/19/91,5.6
2/20/91,5.4
2/21/91,5
2/22/91,4.8
2/23/91,4.5
2/24/91,4.3
2/25/91,3.9
2/26/91,3.9
2/27/91,3.6
2/28/91,3.6
3/1/91,6.1
3/2/91,5.6
3/3/91,4.8
3/4/91,4.8
3/5/91,4.1
3/6/91,3.9
3/7/91,3.6
3/8/91,3.4
3/9/91,3
3/10/91,3
3/11/91,3
3/12/91,2.8
3/13/91,2.6
3/14/91,2.6
3/15/91,2.6
3/16/91,2.4
3/17/91,2.4
3/18/91,2.4
3/19/91,3.4
3/20/91,3.2
3/21/91,3
3/22/91,3.4
3/23/91,3.4
3/24/91,12
3/25/91,2.6
3/26/91,2.4
3/27/91,2.6
3/28/91,2.4
3/29/91,2.2
3/30/91,2.2
3/31/91,3
4/1/91,3
4/2/91,2.6
4/3/91,2.8
4/4/91,2.4
4/5/91,2.4
4/6/91,2
4/7/91,2
4/8/91,2
4/9/91,3
4/10/91,2.4
4/11/91,2.6
4/12/91,2.2
4/13/91,2
4/14/91,1.9
4/15/91,3.4
4/16/91,3.2
4/17/91,2.6
4/18/91,3
4/19/91,2.8
4/20/91,2.4
4/21/91,2.4
4/22/91,2.4
4/23/91,2.4
4/24/91,8.9
4/25/91,7.5
4/26/91,5.9
4/27/91,5.9
4/28/91,4.8
4/29/91,5.6
4/30/91,4.5
5/1/91,4.1
5/2/91,4.1
5/3/91,4.5
5/4/91,4.1
5/5/91,3.6
5/6/91,5.2
5/7/91,5
5/8/91,5
5/9/91,4.5
5/10/91,4.3
5/11/91,4.3
5/12/91,4.1
5/13/91,3.6
5/14/91,3.2
5/15/91,4.5
5/16/91,7.3
5/17/91,5.4
5/18/91,4.3
5/19/91,3.6
5/20/91,3.4
5/21/91,3.4
5/22/91,3.2
5/23/91,3.2
5/24/91,4.1
5/25/91,3
5/26/91,3
5/27/91,4.3
5/28/91,5
5/29/91,10.4
5/30/91,9.8
5/31/91,5.9
6/1/91,7.8
6/2/91,11.1
6/3/91,6.8
6/4/91,5.6
6/5/91,5.2
6/6/91,4.5
6/7/91,4.3
6/8/91,4.5
6/9/91,6.1
6/10/91,11.3
6/11/91,10.7
6/12/91,8.1
6/13/91,9.5
6/14/91,10.7
6/15/91,7.3
6/16/91,5.6
6/17/91,5
6/18/91,4.1
6/19/91,3.6
6/20/91,3.6
6/21/91,3.4
6/22/91,3.2
6/23/91,3.2
6/24/91,3
6/25/91,3.6
6/26/91,5.2
6/27/91,3.6
6/28/91,4.1
6/29/91,3.2
6/30/91,2.8
7/1/91,2.4
7/2/91,2.2
7/3/91,2.2
7/4/91,2.4
7/5/91,2.4
7/6/91,2.2
7/7/91,2
7/8/91,2
7/9/91,2.4
7/10/91,2.4
7/11/91,2.2
7/12/91,3.4
7/13/91,7.5
7/14/91,4.8
7/15/91,6.1
7/16/91,3.4
7/17/91,3.9
