Time,Month,Temperature (deg C),Precipitation (mm/day)
1/1/91,1,-1.5,0.4
1/2/91,1,-0.8,10.5
1/3/91,1,-2.8,0.9
1/4/91,1,-3.7,4.4
1/5/91,1,-6.1,0.6
1/6/91,1,-3,0
1/7/91,1,-0.7,4.4
1/8/91,1,1.8,3.1
1/9/91,1,0.6,1.7
1/10/91,1,1.8,3.6
1/11/91,1,1.2,2.4
1/12/91,1,1.5,0
1/13/91,1,1.1,0
1/14/91,1,-0.5,0
1/15/91,1,-3.2,1.3
1/16/91,1,-0.9,0.6
1/17/91,1,3.2,5
1/18/91,1,-1.5,20.7
1/19/91,1,-2.8,8.4
1/20/91,1,-5.1,1.5
1/21/91,1,-2.9,2.4
1/22/91,1,-0.6,0.9
1/23/91,1,0.1,0.9
1/24/91,1,-0.8,1.2
1/25/91,1,-1,1.9
1/26/91,1,-1.5,0.4
1/27/91,1,-2.2,1.8
1/28/91,1,0.1,2.4
1/29/91,1,2.1,0
1/30/91,1,3.5,3.1
1/31/91,1,4.6,3.7
2/1/91,2,0.3,12
2/2/91,2,0.6,4.1
2/3/91,2,-0.5,14.7
2/4/91,2,-0.8,6.3
2/5/91,2,-0.1,3.6
2/6/91,2,4,1.1
2/7/91,2,1.3,2.2
2/8/91,2,1.7,5.3
2/9/91,2,4,1.2
2/10/91,2,2.1,8.3
2/11/91,2,4.8,0
2/12/91,2,2.6,5.3
2/13/91,2,5.5,4.2
2/14/91,2,6,0
2/15/91,2,6.4,0.1
2/16/91,2,5.8,0
2/17/91,2,4,0
2/18/91,2,5.8,0
2/19/91,2,3,0
2/20/91,2,2.2,0
2/21/91,2,0.7,0
2/22/91,2,3.1,0
2/23/91,2,4,0
2/24/91,2,7.4,0
2/25/91,2,6.8,0
2/26/91,2,8.2,1.2
2/27/91,2,10.2,0
2/28/91,2,3.4,0
3/1/91,3,1.3,12.1
3/2/91,3,1.1,0.8
3/3/91,3,2.3,2.9
3/4/91,3,2.4,1.4
